Reservoir,Site,DateTime,Depth_m,TFe_mgL,TMn_mgL,SFe_mgL,SMn_mgL,Flag_DateTime,Flag_TFe,Flag_TMn,Flag_SFe,Flag_SMn
FCR,50,2014-06-29 12:00:00,5,0.8244,0.5436,0.137,0.4377,1,0,0,0,0
FCR,50,2014-06-29 12:00:00,6.2,2.231,1.087,0.4624,0.8769,1,0,0,0,0
FCR,50,2014-06-29 12:00:00,8,2.371,1.261,0.836,1.229,1,0,0,0,0
FCR,50,2014-06-29 12:00:00,9,4.96,2.249,0.9733,1.933,1,0,0,0,0
FCR,50,2014-06-30 12:00:00,0.1,0.3468,0.01191,0.3287,0.00699,1,0,0,0,0
FCR,50,2014-06-30 12:00:00,0.8,0.3474,0.01379,0.3293,0.0054,1,0,0,0,0
FCR,50,2014-06-30 12:00:00,1.6,0.3406,0.01297,0.3406,0.00542,1,0,0,0,0
FCR,50,2014-06-30 12:00:00,2.8,0.3927,0.0193,0.3927,0.00668,1,0,0,0,0
FCR,50,2014-06-30 12:00:00,3.8,0.4231,0.07276,0.4056,0.04163,1,0,0,0,0
FCR,50,2014-06-30 12:00:00,5,0.8128,0.5437,0.8128,0.50485,1,0,0,0,0
FCR,50,2014-06-30 12:00:00,6.2,1.728,0.9383,1.728,0.86761,1,0,0,0,0
FCR,50,2014-06-30 12:00:00,8,2.102,1.018,2.102,1.018,1,0,0,0,0
FCR,50,2014-06-30 12:00:00,9,2.303,1.09,2.303,1.09,1,0,0,0,0
FCR,50,2014-07-07 12:00:00,0.1,0.2835,0.00738,0.2835,0.0058,1,0,0,0,0
FCR,50,2014-07-07 12:00:00,0.8,0.2811,0.00785,0.2811,0.00319,1,0,0,0,0
FCR,50,2014-07-07 12:00:00,1.6,0.2866,0.00766,0.2762,0.0028,1,0,0,0,0
FCR,50,2014-07-07 12:00:00,2.8,0.3394,0.01354,0.3394,0.00479,1,0,0,0,0
FCR,50,2014-07-07 12:00:00,3.8,0.3688,0.1284,0.3522,0.07484,1,0,0,0,0
FCR,50,2014-07-07 12:00:00,5,0.9146,0.5145,0.9146,0.48399,1,0,0,0,0
FCR,50,2014-07-07 12:00:00,6.2,1.76,0.8937,1.76,0.82934,1,0,0,0,0
FCR,50,2014-07-07 12:00:00,8,1.987,0.9557,1.983,0.90595,1,0,0,0,0
FCR,50,2014-07-07 12:00:00,9,2.173,1.059,2.173,1.03348,1,0,0,0,0
BVR,50,2014-07-09 12:00:00,0.1,0.53,0.0273,0.53,0.0273,1,0,0,0,0
BVR,50,2014-07-09 12:00:00,4,0.3552,0.1451,0.3552,0.0628,1,0,0,0,0
BVR,50,2014-07-09 12:00:00,8,0.5615,0.6163,0.5615,0.6163,1,0,0,0,0
BVR,50,2014-07-09 12:00:00,12,47.11,3.122,44.44,3.043,1,0,0,0,0
FCR,50,2014-07-14 12:00:00,0.1,0.2747,0.00744,0.2747,0.00435,1,0,0,0,0
FCR,50,2014-07-14 12:00:00,0.8,0.2695,0.00812,0.2695,0.00344,1,0,0,0,0
FCR,50,2014-07-14 12:00:00,1.6,0.2488,0.00738,0.2488,0.00278,1,0,0,0,0
FCR,50,2014-07-14 12:00:00,2.8,0.3019,0.01622,0.3019,0.00558,1,0,0,0,0
FCR,50,2014-07-14 12:00:00,3.8,0.2519,0.1881,0.2519,0.10655,1,0,0,0,0
FCR,50,2014-07-14 12:00:00,5,1.352,0.7783,1.352,0.72701,1,0,0,0,0
FCR,50,2014-07-14 12:00:00,6.2,3.175,1.372,3.175,1.27083,1,0,0,0,0
FCR,50,2014-07-14 12:00:00,8,3.173,1.36,3.173,1.28831,1,0,0,0,0
FCR,50,2014-07-14 12:00:00,9,3.089,1.299,3.08,1.26756,1,0,0,0,0
BVR,50,2014-07-16 12:00:00,0.1,0.4279,0.02401,0.4211,0.02401,1,0,0,0,0
BVR,50,2014-07-16 12:00:00,4,0.3851,0.06729,0.3503,0.0639,1,0,0,0,0
BVR,50,2014-07-16 12:00:00,8,0.9705,1.441,0.9705,1.441,1,0,0,0,0
BVR,50,2014-07-16 12:00:00,12,26.02,2.549,24.4,2.475,1,0,0,0,0
FCR,50,2014-07-21 12:00:00,0.1,0.3381,0.0084,0.3381,0.0061,1,0,0,0,0
FCR,50,2014-07-21 12:00:00,0.8,0.3251,0.0106,0.3251,0.0106,1,0,0,0,0
FCR,50,2014-07-21 12:00:00,1.6,0.3286,0.0098,0.3073,0.0098,1,0,0,0,0
FCR,50,2014-07-21 12:00:00,2.8,0.3759,0.0138,0.3623,0.0138,1,0,0,0,0
FCR,50,2014-07-21 12:00:00,3.8,0.2962,0.0993,0.2962,0.05976,1,0,0,0,0
